CIMS HOSPITAL - AHMEDABAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily_Sales_Revenue(2021.10.01--2021.10.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulars,Session,Section,10/1/2020,103/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,Total
,,,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,
Sales,NA,NA,5060,4210,2120,0,5106,3688,3186,3761,4010,3122,0,4851,3250,3428,3020,3360,2960,0,5050,3514,3432,3261,3150,2150,0,4933,3110,3210,3058,2961,1021,93982
Covers,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bills,NA,,198,168,179,0,168,103,88,188,161,152,0,141,111,68,89,154,162,0,171,115,127,112,126,135,0,64,98,67,93,140,123,3501
Covers Turn,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,NA,,198,168,179,0,168,103,88,188,161,152,0,141,111,68,89,154,162,0,171,115,127,112,126,135,0,64,98,67,93,140,123,3501
Bills,Total,,198,168,179,0,168,103,88,188,161,152,0,141,111,68,89,154,162,0,171,115,127,112,126,135,0,64,98,67,93,140,123,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Contribution,,NA,100,100,100,0,100,100,100,100,100,100,0,100,100,100,100,100,100,0,100,100,100,100,100,100,0,100,100,100,100,100,100,100
