DEPLOYMENTCIMS HOSPITAL - AHMEDABAD,,,,,,,,,,,,
Period,,Dec-20,,,,,,,,,,
,,,,,,,,,,,,
Net Sales,119367,Voids,0,0,,,,,,,,
Charge Total,0,,,,,,,,,,,
Service Charge,0,,,,,,,,,,,
Tax Collected,0,Manager Voids,0,0,,,,,,,,
Round Off,0,,,,,,,,,,,
Total Revenue,119367,Other Voids,0,0,,,,,,,,
,,,,,,,,,,,,
Item Discount,0,,,,,,,,,,,
Subtotal Discount,0,,,,,,,,,,,
Total Discounts,0,,,,,,,,,,,
,,,,,,,,,,,,
Order Type,Net Sales,% Of Total,Guest,% Of Total,Avg/Guest,Checks,% Of Total,Avg/Check,Tables,% Of Total,Avg/Table,Turn Time (min.)
Take Out,119367,100,0,0,0,5468,100,103.52,0,0,0,5.12
Total,119367,,0,,0,5468,,103.52,0,,0,
,,,,,,,,,,,,
Section Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
NA,9654,119367,,,,,,,,,,
,,,,,,,,,,,,
Super Category Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
BEVERAGES CIMS HOSPITAL,2153,21680,,,,,,,,,,
MINERAL WATER CIMS,562,11240,,,,,,,,,,
INDIAN SNACKS CIMS HOSPITAL,2754,21464,,,,,,,,,,
SANDWICHES CIMS HOSPITAL,362,14348,,,,,,,,,,
MEAL MENU CIMS HOSPITAL,185,13654,,,,,,,,,,
SOUTH INDIAN CIMS HOSPITAL,411,9766,,,,,,,,,,
BAKERY CIMS,156,652,,,,,,,,,,
CIMS HOT BEVERAGE,1455,10022,,,,,,,,,,
CIMS FRUIT CORNER,85,2165,,,,,,,,,,
CIMS SANDWICH DELIGHT,89,2564,,,,,,,,,,
CIMS INDIAN SNACKS,1270,9982,,,,,,,,,,
CIMS COFFEE BT,102,1680,,,,,,,,,,
CIMS SWEET TEMPTATIONS,52,150,,,,,,,,,,
CIMS COLD BEVERAGE,18,0,,,,,,,,,,
,,,,,,,,,,,,
Collection Break-up,,,,,,,,,,,,
Particulars,Bills,Amount,,,,,,,,,,
Cash,2643,119367,,,,,,,,,,
Credit Card,0,0,,,,,,,,,,
Debit Card,0,0,,,,,,,,,,
Coupon,0,0,,,,,,,,,,
BTC,0,0,,,,,,,,,,
TTR,0,0,,,,,,,,,,
Smart Card,0,0,,,,,,,,,,
Delight – PayTM,0,0,,,,,,,,,,
Zomato,0,0,,,,,,,,,,
,,,,,,,,,,,,
Discounts,,,,,,,,,,,,
Particulars,Count,Amount,,,,,,,,,,
Other Discount,0,0,,,,,,,,,,
,,,,,,,,,,,,
Tips,,,,,,,,,,,,
Total,0,0,,,,,,,,,,
,,,,,,,,,,,,
BILLS AND COVERS,,,,,,,,,,,,
Particulars,Bills,Covers,KOTs (Settled Bills),,,,,,,,,
Non-Complimentary,2643,0,5468,,,,,,,,,
Complimentary,0,0,0,,,,,,,,,
Total Non Void,2643,0,5468,,,,,,,,,
Void,0,0,0,,,,,,,,,
Total,2643,0,5468,,,,,,,,,
