DEPLOYMENTCIMS HOSPITAL - AHMEDABAD,,,,,,,,,,,,
Period,,Jan-21,,,,,,,,,,
,,,,,,,,,,,,
Net Sales,140974,Voids,0,0,,,,,,,,
Charge Total,0,,,,,,,,,,,
Service Charge,0,,,,,,,,,,,
Tax Collected,0,Manager Voids,0,0,,,,,,,,
Round Off,0,,,,,,,,,,,
Total Revenue,140974,Other Voids,0,0,,,,,,,,
,,,,,,,,,,,,
Item Discount,0,,,,,,,,,,,
Subtotal Discount,0,,,,,,,,,,,
Total Discounts,0,,,,,,,,,,,
,,,,,,,,,,,,
Order Type,Net Sales,% Of Total,Guest,% Of Total,Avg/Guest,Checks,% Of Total,Avg/Check,Tables,% Of Total,Avg/Table,Turn Time (min.)
Take Out,140974,100,0,0,0,5241,100,100.25,0,0,0,3.67
Total,140974,,0,,0,5241,,100.25,0,,0,
,,,,,,,,,,,,
Section Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
NA,10254,140974,,,,,,,,,,
,,,,,,,,,,,,
Super Category Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
BEVERAGES CIMS HOSPITAL,2356,24965,,,,,,,,,,
MINERAL WATER CIMS,613,12260,,,,,,,,,,
INDIAN SNACKS CIMS HOSPITAL,2932,24967,,,,,,,,,,
SANDWICHES CIMS HOSPITAL,346,21412,,,,,,,,,,
MEAL MENU CIMS HOSPITAL,153,15960,,,,,,,,,,
SOUTH INDIAN CIMS HOSPITAL,726,11576,,,,,,,,,,
BAKERY CIMS,142,945,,,,,,,,,,
CIMS HOT BEVERAGE,1395,11562,,,,,,,,,,
CIMS FRUIT CORNER,73,2165,,,,,,,,,,
CIMS SANDWICH DELIGHT,72,2487,,,,,,,,,,
CIMS INDIAN SNACKS,1274,10845,,,,,,,,,,
CIMS COFFEE BT,102,1680,,,,,,,,,,
CIMS SWEET TEMPTATIONS,52,150,,,,,,,,,,
CIMS COLD BEVERAGE,18,0,,,,,,,,,,
,,,,,,,,,,,,
Collection Break-up,,,,,,,,,,,,
Particulars,Bills,Amount,,,,,,,,,,
Cash,3307,140974,,,,,,,,,,
Credit Card,0,0,,,,,,,,,,
Debit Card,0,0,,,,,,,,,,
Coupon,0,0,,,,,,,,,,
BTC,0,0,,,,,,,,,,
TTR,0,0,,,,,,,,,,
Smart Card,0,0,,,,,,,,,,
Delight – PayTM,0,0,,,,,,,,,,
Zomato,0,0,,,,,,,,,,
,,,,,,,,,,,,
Discounts,,,,,,,,,,,,
Particulars,Count,Amount,,,,,,,,,,
Other Discount,0,0,,,,,,,,,,
,,,,,,,,,,,,
Tips,,,,,,,,,,,,
Total,0,0,,,,,,,,,,
,,,,,,,,,,,,
BILLS AND COVERS,,,,,,,,,,,,
Particulars,Bills,Covers,KOTs (Settled Bills),,,,,,,,,
Non-Complimentary,3307,0,5241,,,,,,,,,
Complimentary,0,0,0,,,,,,,,,
Total Non Void,3307,0,5241,,,,,,,,,
Void,0,0,0,,,,,,,,,
Total,3307,0,5241,,,,,,,,,
