DEPLOYMENTCIMS HOSPITAL - AHMEDABAD,,,,,,,,,,,,
Period,,Nov-20,,,,,,,,,,
,,,,,,,,,,,,
Net Sales,99961,Voids,0,0,,,,,,,,
Charge Total,0,,,,,,,,,,,
Service Charge,0,,,,,,,,,,,
Tax Collected,0,Manager Voids,0,0,,,,,,,,
Round Off,0,,,,,,,,,,,
Total Revenue,99961,Other Voids,0,0,,,,,,,,
,,,,,,,,,,,,
Item Discount,0,,,,,,,,,,,
Subtotal Discount,0,,,,,,,,,,,
Total Discounts,0,,,,,,,,,,,
,,,,,,,,,,,,
Order Type,Net Sales,% Of Total,Guest,% Of Total,Avg/Guest,Checks,% Of Total,Avg/Check,Tables,% Of Total,Avg/Table,Turn Time (min.)
Take Out,99961,100,0,0,0,2947,100,87.96,0,0,0,4.27
Total,99961,,0,,0,2947,,87.96,0,,0,
,,,,,,,,,,,,
Section Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
NA,7261,99961,,,,,,,,,,
,,,,,,,,,,,,
Super Category Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
BEVERAGES CIMS HOSPITAL,1894,19680,,,,,,,,,,
MINERAL WATER CIMS,487,9740,,,,,,,,,,
INDIAN SNACKS CIMS HOSPITAL,2234,17512,,,,,,,,,,
SANDWICHES CIMS HOSPITAL,268,8754,,,,,,,,,,
MEAL MENU CIMS HOSPITAL,166,12857,,,,,,,,,,
SOUTH INDIAN CIMS HOSPITAL,226,6132,,,,,,,,,,
BAKERY CIMS,74,400,,,,,,,,,,
CIMS HOT BEVERAGE,895,8345,,,,,,,,,,
CIMS FRUIT CORNER,49,2165,,,,,,,,,,
CIMS SANDWICH DELIGHT,59,2564,,,,,,,,,,
CIMS INDIAN SNACKS,814,9982,,,,,,,,,,
CIMS COFFEE BT,84,1680,,,,,,,,,,
CIMS SWEET TEMPTATIONS,11,150,,,,,,,,,,
CIMS COLD BEVERAGE,0,0,,,,,,,,,,
,,,,,,,,,,,,
Collection Break-up,,,,,,,,,,,,
Particulars,Bills,Amount,,,,,,,,,,
Cash,780,99961,,,,,,,,,,
Credit Card,0,0,,,,,,,,,,
Debit Card,0,0,,,,,,,,,,
Coupon,0,0,,,,,,,,,,
BTC,0,0,,,,,,,,,,
TTR,0,0,,,,,,,,,,
Smart Card,0,0,,,,,,,,,,
Delight – PayTM,0,0,,,,,,,,,,
Zomato,0,0,,,,,,,,,,
,,,,,,,,,,,,
Discounts,,,,,,,,,,,,
Particulars,Count,Amount,,,,,,,,,,
Other Discount,0,0,,,,,,,,,,
,,,,,,,,,,,,
Tips,,,,,,,,,,,,
Total,0,0,,,,,,,,,,
,,,,,,,,,,,,
BILLS AND COVERS,,,,,,,,,,,,
Particulars,Bills,Covers,KOTs (Settled Bills),,,,,,,,,
Non-Complimentary,780,0,2947,,,,,,,,,
Complimentary,0,0,0,,,,,,,,,
Total Non Void,780,0,2947,,,,,,,,,
Void,0,0,0,,,,,,,,,
Total,780,0,2947,,,,,,,,,
