DEPLOYMENTCIMS HOSPITAL - AHMEDABAD,,,,,,,,,,,,
Period,,20-Oct,,,,,,,,,,
,,,,,,,,,,,,
Net Sales,93982,Voids,0,0,,,,,,,,
Charge Total,0,,,,,,,,,,,
Service Charge,0,,,,,,,,,,,
Tax Collected,0,Manager Voids,0,0,,,,,,,,
Round Off,0,,,,,,,,,,,
Total Revenue,93982,Other Voids,0,0,,,,,,,,
,,,,,,,,,,,,
Item Discount,0,,,,,,,,,,,
Subtotal Discount,0,,,,,,,,,,,
Total Discounts,0,,,,,,,,,,,
,,,,,,,,,,,,
Order Type,Net Sales,% Of Total,Guest,% Of Total,Avg/Guest,Checks,% Of Total,Avg/Check,Tables,% Of Total,Avg/Table,Turn Time (min.)
Take Out,93982,100,0,0,0,4277,100,105.23,0,0,0,4.8
Total,93982,,0,,0,4277,,105.23,0,,0,
,,,,,,,,,,,,
Section Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
NA,8408,93982,,,,,,,,,,
,,,,,,,,,,,,
Super Category Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
BEVERAGES CIMS HOSPITAL,3892,21562,,,,,,,,,,
MINERAL WATER CIMS,769,15380,,,,,,,,,,
INDIAN SNACKS CIMS HOSPITAL,1684,17854,,,,,,,,,,
SANDWICHES CIMS HOSPITAL,265,8560,,,,,,,,,,
MEAL MENU CIMS HOSPITAL,254,10562,,,,,,,,,,
SOUTH INDIAN CIMS HOSPITAL,87,4590,,,,,,,,,,
BAKERY CIMS,16,264,,,,,,,,,,
CIMS HOT BEVERAGE,879,4536,,,,,,,,,,
CIMS FRUIT CORNER,89,2684,,,,,,,,,,
CIMS SANDWICH DELIGHT,36,1946,,,,,,,,,,
CIMS INDIAN SNACKS,359,4268,,,,,,,,,,
CIMS COFFEE BT,49,1356,,,,,,,,,,
CIMS SWEET TEMPTATIONS,20,150,,,,,,,,,,
CIMS COLD BEVERAGE,9,270,,,,,,,,,,
,,,,,,,,,,,,
Collection Break-up,,,,,,,,,,,,
Particulars,Bills,Amount,,,,,,,,,,
Cash,3501,93982,,,,,,,,,,
Credit Card,0,0,,,,,,,,,,
Debit Card,0,0,,,,,,,,,,
Coupon,0,0,,,,,,,,,,
BTC,0,0,,,,,,,,,,
TTR,0,0,,,,,,,,,,
Smart Card,0,0,,,,,,,,,,
Delight – PayTM,0,0,,,,,,,,,,
Zomato,0,0,,,,,,,,,,
,,,,,,,,,,,,
Discounts,,,,,,,,,,,,
Particulars,Count,Amount,,,,,,,,,,
Other Discount,0,0,,,,,,,,,,
,,,,,,,,,,,,
Tips,,,,,,,,,,,,
Total,0,0,,,,,,,,,,
,,,,,,,,,,,,
BILLS AND COVERS,,,,,,,,,,,,
Particulars,Bills,Covers,KOTs (Settled Bills),,,,,,,,,
Non-Complimentary,3501,0,4277,,,,,,,,,
Complimentary,0,0,0,,,,,,,,,
Total Non Void,3501,0,4277,,,,,,,,,
Void,0,0,0,,,,,,,,,
Total,3501,0,4277,,,,,,,,,
