DEPLOYMENTCIMS HOSPITAL - AHMEDABAD,,,,,,,,,,,,
Period,,Apr-21,,,,,,,,,,
,,,,,,,,,,,,
Net Sales,145520,Voids,0,0,,,,,,,,
Charge Total,0,,,,,,,,,,,
Service Charge,0,,,,,,,,,,,
Tax Collected,0,Manager Voids,0,0,,,,,,,,
Round Off,0,,,,,,,,,,,
Total Revenue,145520,Other Voids,0,0,,,,,,,,
,,,,,,,,,,,,
Item Discount,0,,,,,,,,,,,
Subtotal Discount,0,,,,,,,,,,,
Total Discounts,0,,,,,,,,,,,
,,,,,,,,,,,,
Order Type,Net Sales,% Of Total,Guest,% Of Total,Avg/Guest,Checks,% Of Total,Avg/Check,Tables,% Of Total,Avg/Table,Turn Time (min.)
Take Out,145520,100,0,0,0,3443,100,103.02,0,0,0,4.62
Total,145520,,0,,0,3443,,103.02,0,,0,
,,,,,,,,,,,,
Section Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
NA,12659,145520,,,,,,,,,,
,,,,,,,,,,,,
Super Category Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
BEVERAGES CIMS HOSPITAL,2254,14560,,,,,,,,,,
MINERAL WATER CIMS,986,19720,,,,,,,,,,
INDIAN SNACKS CIMS HOSPITAL,2658,15986,,,,,,,,,,
SANDWICHES CIMS HOSPITAL,215,13548,,,,,,,,,,
MEAL MENU CIMS HOSPITAL,203,18254,,,,,,,,,,
SOUTH INDIAN CIMS HOSPITAL,845,10802,,,,,,,,,,
BAKERY CIMS,89,894,,,,,,,,,,
CIMS HOT BEVERAGE,1259,10560,,,,,,,,,,
CIMS FRUIT CORNER,113,6598,,,,,,,,,,
CIMS SANDWICH DELIGHT,158,6112,,,,,,,,,,
CIMS INDIAN SNACKS,3469,21894,,,,,,,,,,
CIMS COFFEE BT,268,3648,,,,,,,,,,
CIMS SWEET TEMPTATIONS,94,375,,,,,,,,,,
CIMS COLD BEVERAGE,48,2569,,,,,,,,,,
,,,,,,,,,,,,
Collection Break-up,,,,,,,,,,,,
Particulars,Bills,Amount,,,,,,,,,,
Cash,2655,128438,,,,,,,,,,
Credit Card,0,0,,,,,,,,,,
Debit Card,0,0,,,,,,,,,,
Coupon,0,0,,,,,,,,,,
BTC,0,0,,,,,,,,,,
TTR,0,0,,,,,,,,,,
Smart Card,0,0,,,,,,,,,,
Delight – PayTM,0,0,,,,,,,,,,
Zomato,0,0,,,,,,,,,,
,,,,,,,,,,,,
Discounts,,,,,,,,,,,,
Particulars,Count,Amount,,,,,,,,,,
Other Discount,0,0,,,,,,,,,,
,,,,,,,,,,,,
Tips,,,,,,,,,,,,
Total,0,0,,,,,,,,,,
,,,,,,,,,,,,
BILLS AND COVERS,,,,,,,,,,,,
Particulars,Bills,Covers,KOTs (Settled Bills),,,,,,,,,
Non-Complimentary,2655,0,3443,,,,,,,,,
Complimentary,0,0,0,,,,,,,,,
Total Non Void,2655,0,3443,,,,,,,,,
Void,0,0,0,,,,,,,,,
Total,2655,0,3443,,,,,,,,,
