DEPLOYMENTCIMS HOSPITAL - AHMEDABAD,,,,,,,,,,,,
Period,,Feb-21,,,,,,,,,,
,,,,,,,,,,,,
Net Sales,132640,Voids,0,0,,,,,,,,
Charge Total,0,,,,,,,,,,,
Service Charge,0,,,,,,,,,,,
Tax Collected,0,Manager Voids,0,0,,,,,,,,
Round Off,0,,,,,,,,,,,
Total Revenue,132640,Other Voids,0,0,,,,,,,,
,,,,,,,,,,,,
Item Discount,0,,,,,,,,,,,
Subtotal Discount,0,,,,,,,,,,,
Total Discounts,0,,,,,,,,,,,
,,,,,,,,,,,,
Order Type,Net Sales,% Of Total,Guest,% Of Total,Avg/Guest,Checks,% Of Total,Avg/Check,Tables,% Of Total,Avg/Table,Turn Time (min.)
Take Out,132640,100,0,0,0,5946,100,103.02,0,0,0,4.62
Total,132640,,0,,0,5946,,103.02,0,,0,
,,,,,,,,,,,,
Section Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
NA,9864,132640,,,,,,,,,,
,,,,,,,,,,,,
Super Category Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
BEVERAGES CIMS HOSPITAL,2159,21596,,,,,,,,,,
MINERAL WATER CIMS,823,15360,,,,,,,,,,
INDIAN SNACKS CIMS HOSPITAL,2036,20156,,,,,,,,,,
SANDWICHES CIMS HOSPITAL,369,21412,,,,,,,,,,
MEAL MENU CIMS HOSPITAL,153,15926,,,,,,,,,,
SOUTH INDIAN CIMS HOSPITAL,821,10654,,,,,,,,,,
BAKERY CIMS,142,945,,,,,,,,,,
CIMS HOT BEVERAGE,1255,10563,,,,,,,,,,
CIMS FRUIT CORNER,73,2165,,,,,,,,,,
CIMS SANDWICH DELIGHT,72,2487,,,,,,,,,,
CIMS INDIAN SNACKS,1789,9546,,,,,,,,,,
CIMS COFFEE BT,102,1680,,,,,,,,,,
CIMS SWEET TEMPTATIONS,52,150,,,,,,,,,,
CIMS COLD BEVERAGE,18,0,,,,,,,,,,
,,,,,,,,,,,,
Collection Break-up,,,,,,,,,,,,
Particulars,Bills,Amount,,,,,,,,,,
Cash,3476,132640,,,,,,,,,,
Credit Card,0,0,,,,,,,,,,
Debit Card,0,0,,,,,,,,,,
Coupon,0,0,,,,,,,,,,
BTC,0,0,,,,,,,,,,
TTR,0,0,,,,,,,,,,
Smart Card,0,0,,,,,,,,,,
Delight – PayTM,0,0,,,,,,,,,,
Zomato,0,0,,,,,,,,,,
,,,,,,,,,,,,
Discounts,,,,,,,,,,,,
Particulars,Count,Amount,,,,,,,,,,
Other Discount,0,0,,,,,,,,,,
,,,,,,,,,,,,
Tips,,,,,,,,,,,,
Total,0,0,,,,,,,,,,
,,,,,,,,,,,,
BILLS AND COVERS,,,,,,,,,,,,
Particulars,Bills,Covers,KOTs (Settled Bills),,,,,,,,,
Non-Complimentary,3476,0,5946,,,,,,,,,
Complimentary,0,0,0,,,,,,,,,
Total Non Void,3476,0,5946,,,,,,,,,
Void,0,0,0,,,,,,,,,
Total,3476,0,5946,,,,,,,,,
