DEPLOYMENTCIMS HOSPITAL - AHMEDABAD,,,,,,,,,,,,
Period,,20-Oct,,,,,,,,,,
,,,,,,,,,,,,
Net Sales,158606,Voids,0,0,,,,,,,,
Charge Total,0,,,,,,,,,,,
Service Charge,0,,,,,,,,,,,
Tax Collected,0,Manager Voids,0,0,,,,,,,,
Round Off,0,,,,,,,,,,,
Total Revenue,158606,Other Voids,0,0,,,,,,,,
,,,,,,,,,,,,
Item Discount,0,,,,,,,,,,,
Subtotal Discount,0,,,,,,,,,,,
Total Discounts,0,,,,,,,,,,,
,,,,,,,,,,,,
Order Type,Net Sales,% Of Total,Guest,% Of Total,Avg/Guest,Checks,% Of Total,Avg/Check,Tables,% Of Total,Avg/Table,Turn Time (min.)
Take Out,158606,100,0,0,0,4277,100,123.95,0,0,0,5.92
Total,158606,,0,,0,4277,,123.95,0,,0,
,,,,,,,,,,,,
Section Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
NA,12175,158606,,,,,,,,,,
,,,,,,,,,,,,
Super Category Tracking,,,,,,,,,,,,
Particulars,Items,Amount,,,,,,,,,,
BEVERAGES CIMS HOSPITAL,4861,51650,,2431,,,,,,,,
MINERAL WATER CIMS,1456,13905,,,,,,,,,,
INDIAN SNACKS CIMS HOSPITAL,2234,29519,,,,,,,,,,
SANDWICHES CIMS HOSPITAL,457,11945,,,,,,,,,,
MEAL MENU CIMS HOSPITAL,321,15260,,,,,,,,,,
SOUTH INDIAN CIMS HOSPITAL,155,7705,,,,,,,,,,
BAKERY CIMS,36,400,,,,,,,,,,
CIMS HOT BEVERAGE,1635,8345,,,,,,,,,,
CIMS FRUIT CORNER,119,4165,,,,,,,,,,
CIMS SANDWICH DELIGHT,84,3080,,,,,,,,,,
CIMS INDIAN SNACKS,712,9982,,,,,,,,,,
CIMS COFFEE BT,76,2230,,,,,,,,,,
CIMS SWEET TEMPTATIONS,20,150,,,,,,,,,,
CIMS COLD BEVERAGE,9,270,,,,,,,,,,
,,,,,,,,,,,,
Collection Break-up,,,,,,,,,,,,
Particulars,Bills,Amount,,,,,,,,,,
Cash,3501,158606,,,,,,,,,,
Credit Card,0,0,,,,,,,,,,
Debit Card,0,0,,,,,,,,,,
Coupon,0,0,,,,,,,,,,
BTC,0,0,,,,,,,,,,
TTR,0,0,,,,,,,,,,
Smart Card,0,0,,,,,,,,,,
Delight – PayTM,0,0,,,,,,,,,,
Zomato,0,0,,,,,,,,,,
,,,,,,,,,,,,
Discounts,,,,,,,,,,,,
Particulars,Count,Amount,,,,,,,,,,
Other Discount,0,0,,,,,,,,,,
,,,,,,,,,,,,
Tips,,,,,,,,,,,,
Total,0,0,,,,,,,,,,
,,,,,,,,,,,,
BILLS AND COVERS,,,,,,,,,,,,
Particulars,Bills,Covers,KOTs (Settled Bills),,,,,,,,,
Non-Complimentary,3501,0,4277,,,,,,,,,
Complimentary,0,0,0,,,,,,,,,
Total Non Void,3501,0,4277,,,,,,,,,
Void,0,0,0,,,,,,,,,
Total,3501,0,4277,,,,,,,,,
